Rk,Age▼,Date,Tm,at,Opp,outcome,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
133,28-169,2018-02-11,HOU,,DAL,1,1,34,6,19,0.316,2,6,0.333,4,13,0.308,11,12,0.917,0,6,6,5,2,1,3,1,27,20.3
134,28-167,2018-02-09,HOU,,DEN,1,1,27,7,16,0.438,2,5,0.4,5,11,0.455,9,11,0.818,1,6,7,11,0,0,5,2,28,23.2
135,28-165,2018-02-07,HOU,@,MIA,1,1,36,13,25,0.52,8,13,0.615,5,12,0.417,10,12,0.833,0,4,4,6,3,1,4,2,41,32.2
136,28-164,2018-02-06,HOU,@,BRK,1,1,34,11,23,0.478,7,13,0.538,4,10,0.4,10,10,1,0,4,4,5,0,1,2,4,36,26.1
137,28-161,2018-02-03,HOU,@,CLE,1,1,31,5,16,0.313,4,5,0.8,1,11,0.091,5,5,1,0,6,6,9,2,0,4,2,16,12.1
138,28-159,2018-02-01,HOU,@,SAS,1,1,37,10,20,0.5,5,8,0.625,5,12,0.417,3,3,1,0,2,2,11,1,2,3,1,28,25.3
139,28-157,2018-01-30,HOU,,ORL,1,1,46,19,30,0.633,14,16,0.875,5,14,0.357,17,18,0.944,2,8,10,11,4,1,5,2,60,56.6
140,28-155,2018-01-28,HOU,,PHO,1,1,38,8,21,0.381,5,10,0.5,3,11,0.273,8,12,0.667,3,7,10,8,2,1,6,1,27,20
141,28-153,2018-01-26,HOU,@,NOP,0,1,34,5,16,0.313,4,7,0.571,1,9,0.111,12,14,0.857,0,5,5,11,2,1,4,4,23,19.3
142,28-151,2018-01-24,HOU,@,DAL,1,1,33,9,16,0.563,3,6,0.5,6,10,0.6,1,2,0.5,1,4,5,13,1,1,1,1,25,28.3
143,28-149,2018-01-22,HOU,,MIA,1,1,35,10,26,0.385,5,13,0.385,5,13,0.385,3,4,0.75,0,2,2,5,2,2,6,2,28,14.1
